Sifra,IDTeritorije,Dan,Mesec,Godina,Vrednost,Opis
COVID19k,RS,6,3,2020,0,BROJ_LICA_NA_RESPIRATORU_ZA_DATI_DATUM
COVID19k,RS,6,3,2020,1,BROJ_HOSPITALIZOVANIH_LICA_ZA_DATI_DATUM
COVID19k,RS,6,3,2020,1,BROJ_POZITIVNIH_LICA_ZA_DATI_DATUM
COVID19k,RS,6,3,2020,1,UKUPAN_BROJ_POZITIVNIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,6,3,2020,67,BROJ_TESTIRANIH_LICA_ZA_DATI_DATUM
COVID19k,RS,6,3,2020,67,UKUPAN_BROJ_TESTIRANIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,6,3,2020,0,BROJ_PREMINULIH_LICA_ZA_DATI_DATUM
COVID19k,RS,6,3,2020,0,BROJ_PREMINULIH_MUŠKARACA_ZA_DATI_DATUM
COVID19k,RS,6,3,2020,0,BROJ_PREMINULIH_ŽENA_ZA_DATI_DATUM
COVID19k,RS,6,3,2020,0,UKUPAN_BROJ_PREMINULIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,6,3,2020,0,PROSEK_GODINA_LICA_PREMINULIH_ZA_DATI_DATUM
COVID19k,RS,6,3,2020,1.49,PROCENAT_ZARAŽENIH_LICA_ U_ODNOSU_NA_BROJ_TESTIRANIH_LICA_ZA_DATI DATUM
COVID19k,RS,6,3,2020,1.49,PROCENAT_ZARAŽENIH_LICA_OD_POČETKA_PANDEMIJE_U_ODNOSU_NA_UKUPAN_BROJ_TESTIRANIH_LICA
COVID19k,RS,6,3,2020,100,PROCENAT_HOSPITALIZOVANIH_LICA_U ODNOSU_NA_UKUPAN_BROJ_ZARAŽENIH_ZA_DATI_DATUM
COVID19k,RS,6,3,2020,0,PROCENAT_LICA_NA_RESPIRATORU_U_ODNOSU_NA_UKUPAN_BROJ_HOSPITALIZOVANIH
COVID19k,RS,6,3,2020,,UKUPAN_BROJ_IZLEČENIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,6,3,2020,,PROCENAT_IZLEČENIH_LICA_U_ODNOSU_NA_UKUPAN_BROJ_ZARAŽENIH_OD_POČETKA_PANDEMIJE
COVID19k,RS,7,3,2020,0,BROJ_LICA_NA_RESPIRATORU_ZA_DATI_DATUM
COVID19k,RS,7,3,2020,1,BROJ_HOSPITALIZOVANIH_LICA_ZA_DATI_DATUM
COVID19k,RS,7,3,2020,0,BROJ_POZITIVNIH_LICA_ZA_DATI_DATUM
COVID19k,RS,7,3,2020,1,UKUPAN_BROJ_POZITIVNIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,7,3,2020,24,BROJ_TESTIRANIH_LICA_ZA_DATI_DATUM
COVID19k,RS,7,3,2020,91,UKUPAN_BROJ_TESTIRANIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,7,3,2020,0,BROJ_PREMINULIH_LICA_ZA_DATI_DATUM
COVID19k,RS,7,3,2020,0,BROJ_PREMINULIH_MUŠKARACA_ZA_DATI_DATUM
COVID19k,RS,7,3,2020,0,BROJ_PREMINULIH_ŽENA_ZA_DATI_DATUM
COVID19k,RS,7,3,2020,0,UKUPAN_BROJ_PREMINULIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,7,3,2020,0,PROSEK_GODINA_LICA_PREMINULIH_ZA_DATI_DATUM
COVID19k,RS,7,3,2020,0,PROCENAT_ZARAŽENIH_LICA_ U_ODNOSU_NA_BROJ_TESTIRANIH_LICA_ZA_DATI DATUM
COVID19k,RS,7,3,2020,1.1,PROCENAT_ZARAŽENIH_LICA_OD_POČETKA_PANDEMIJE_U_ODNOSU_NA_UKUPAN_BROJ_TESTIRANIH_LICA
COVID19k,RS,7,3,2020,100,PROCENAT_HOSPITALIZOVANIH_LICA_U ODNOSU_NA_UKUPAN_BROJ_ZARAŽENIH_ZA_DATI_DATUM
COVID19k,RS,7,3,2020,0,PROCENAT_LICA_NA_RESPIRATORU_U_ODNOSU_NA_UKUPAN_BROJ_HOSPITALIZOVANIH
COVID19k,RS,7,3,2020,,UKUPAN_BROJ_IZLEČENIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,7,3,2020,,PROCENAT_IZLEČENIH_LICA_U_ODNOSU_NA_UKUPAN_BROJ_ZARAŽENIH_OD_POČETKA_PANDEMIJE
COVID19k,RS,8,3,2020,0,BROJ_LICA_NA_RESPIRATORU_ZA_DATI_DATUM
COVID19k,RS,8,3,2020,1,BROJ_HOSPITALIZOVANIH_LICA_ZA_DATI_DATUM
COVID19k,RS,8,3,2020,0,BROJ_POZITIVNIH_LICA_ZA_DATI_DATUM
COVID19k,RS,8,3,2020,1,UKUPAN_BROJ_POZITIVNIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,8,3,2020,3,BROJ_TESTIRANIH_LICA_ZA_DATI_DATUM
COVID19k,RS,8,3,2020,94,UKUPAN_BROJ_TESTIRANIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,8,3,2020,0,BROJ_PREMINULIH_LICA_ZA_DATI_DATUM
COVID19k,RS,8,3,2020,0,BROJ_PREMINULIH_MUŠKARACA_ZA_DATI_DATUM
COVID19k,RS,8,3,2020,0,BROJ_PREMINULIH_ŽENA_ZA_DATI_DATUM
COVID19k,RS,8,3,2020,0,UKUPAN_BROJ_PREMINULIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,8,3,2020,0,PROSEK_GODINA_LICA_PREMINULIH_ZA_DATI_DATUM
COVID19k,RS,8,3,2020,0,PROCENAT_ZARAŽENIH_LICA_ U_ODNOSU_NA_BROJ_TESTIRANIH_LICA_ZA_DATI DATUM
COVID19k,RS,8,3,2020,1.06,PROCENAT_ZARAŽENIH_LICA_OD_POČETKA_PANDEMIJE_U_ODNOSU_NA_UKUPAN_BROJ_TESTIRANIH_LICA
COVID19k,RS,8,3,2020,100,PROCENAT_HOSPITALIZOVANIH_LICA_U ODNOSU_NA_UKUPAN_BROJ_ZARAŽENIH_ZA_DATI_DATUM
COVID19k,RS,8,3,2020,0,PROCENAT_LICA_NA_RESPIRATORU_U_ODNOSU_NA_UKUPAN_BROJ_HOSPITALIZOVANIH
COVID19k,RS,8,3,2020,,UKUPAN_BROJ_IZLEČENIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,8,3,2020,,PROCENAT_IZLEČENIH_LICA_U_ODNOSU_NA_UKUPAN_BROJ_ZARAŽENIH_OD_POČETKA_PANDEMIJE
COVID19k,RS,9,3,2020,0,BROJ_LICA_NA_RESPIRATORU_ZA_DATI_DATUM
COVID19k,RS,9,3,2020,2,BROJ_HOSPITALIZOVANIH_LICA_ZA_DATI_DATUM
COVID19k,RS,9,3,2020,1,BROJ_POZITIVNIH_LICA_ZA_DATI_DATUM
COVID19k,RS,9,3,2020,2,UKUPAN_BROJ_POZITIVNIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,9,3,2020,7,BROJ_TESTIRANIH_LICA_ZA_DATI_DATUM
COVID19k,RS,9,3,2020,101,UKUPAN_BROJ_TESTIRANIH_LICA_OD_POČETKA_PANDEMIJE
COVID19k,RS,9,3,2020,0,BROJ_PREMINULIH_LICA_ZA_DATI_DATUM
COVID19k,RS,9,3,2020,0,BROJ_PREMINULIH_MUŠKARACA_ZA_DATI_DATUM
COVID19k,RS,9,3,2020,0,BROJ_PREMINULIH_ŽENA_ZA_DATI_DATUM
